                                                                                                                                                                                                                                                                                
{'loss': 7.5455, 'grad_norm': 4.83065128326416, 'learning_rate': 1.8145759520503356e-07, 'epoch': 0.23}
{'loss': 7.1563, 'grad_norm': 4.594550132751465, 'learning_rate': 1.8124466006555965e-07, 'epoch': 0.24}
{'loss': 7.1374, 'grad_norm': 4.475696086883545, 'learning_rate': 1.8103063569629634e-07, 'epoch': 0.24}
{'loss': 7.116, 'grad_norm': 4.426181316375732, 'learning_rate': 1.8081552496662255e-07, 'epoch': 0.24}
{'loss': 7.3416, 'grad_norm': 4.721066951751709, 'learning_rate': 1.8059933076048192e-07, 'epoch': 0.24}
{'loss': 7.5863, 'grad_norm': 4.735177040100098, 'learning_rate': 1.803820559763439e-07, 'epoch': 0.24}
{'loss': 7.2278, 'grad_norm': 4.615352630615234, 'learning_rate': 1.801637035271651e-07, 'epoch': 0.24}
{'loss': 6.947, 'grad_norm': 4.389247894287109, 'learning_rate': 1.7994427634035013e-07, 'epoch': 0.24}
{'loss': 7.0881, 'grad_norm': 4.348410606384277, 'learning_rate': 1.7972377735771232e-07, 'epoch': 0.24}
{'loss': 7.2834, 'grad_norm': 4.600863933563232, 'learning_rate': 1.7950220953543447e-07, 'epoch': 0.24}
{'loss': 7.1913, 'grad_norm': 4.533990383148193, 'learning_rate': 1.7927957584402894e-07, 'epoch': 0.25}
{'loss': 6.8816, 'grad_norm': 4.345163822174072, 'learning_rate': 1.7905587926829813e-07, 'epoch': 0.25}
{'loss': 6.9828, 'grad_norm': 4.432817459106445, 'learning_rate': 1.7883112280729412e-07, 'epoch': 0.25}
{'loss': 7.4972, 'grad_norm': 4.79109525680542, 'learning_rate': 1.7860530947427875e-07, 'epoch': 0.25}
{'loss': 7.1724, 'grad_norm': 4.570083141326904, 'learning_rate': 1.783784422966831e-07, 'epoch': 0.25}
{'loss': 7.2913, 'grad_norm': 4.65904426574707, 'learning_rate': 1.78150524316067e-07, 'epoch': 0.25}
{'loss': 7.5475, 'grad_norm': 4.684774398803711, 'learning_rate': 1.77921558588078e-07, 'epoch': 0.25}
{'loss': 7.2732, 'grad_norm': 4.63046407699585, 'learning_rate': 1.776915481824107e-07, 'epoch': 0.25}
{'loss': 7.0182, 'grad_norm': 4.355875492095947, 'learning_rate': 1.7746049618276544e-07, 'epoch': 0.25}
{'loss': 7.1179, 'grad_norm': 4.584442615509033, 'learning_rate': 1.7722840568680702e-07, 'epoch': 0.26}
{'loss': 7.5614, 'grad_norm': 4.7588114738464355, 'learning_rate': 1.7699527980612304e-07, 'epoch': 0.26}
{'loss': 7.4032, 'grad_norm': 4.630748748779297, 'learning_rate': 1.7676112166618235e-07, 'epoch': 0.26}
{'loss': 7.1615, 'grad_norm': 4.5192551612854, 'learning_rate': 1.7652593440629312e-07, 'epoch': 0.26}
{'loss': 7.235, 'grad_norm': 4.583610534667969, 'learning_rate': 1.7628972117956068e-07, 'epoch': 0.26}
{'loss': 7.3981, 'grad_norm': 4.7331390380859375, 'learning_rate': 1.7605248515284522e-07, 'epoch': 0.26}
{'loss': 7.3963, 'grad_norm': 4.675285339355469, 'learning_rate': 1.758142295067194e-07, 'epoch': 0.26}
{'loss': 7.3259, 'grad_norm': 4.536864757537842, 'learning_rate': 1.7557495743542582e-07, 'epoch': 0.26}
{'loss': 7.11, 'grad_norm': 4.4459147453308105, 'learning_rate': 1.7533467214683393e-07, 'epoch': 0.26}
{'loss': 6.9458, 'grad_norm': 4.325047492980957, 'learning_rate': 1.7509337686239726e-07, 'epoch': 0.27}
{'loss': 6.9689, 'grad_norm': 4.463359355926514, 'learning_rate': 1.748510748171101e-07, 'epoch': 0.27}
{'loss': 7.2356, 'grad_norm': 4.655430316925049, 'learning_rate': 1.7460776925946417e-07, 'epoch': 0.27}
{'loss': 7.1495, 'grad_norm': 4.487478733062744, 'learning_rate': 1.7436346345140506e-07, 'epoch': 0.27}
{'loss': 7.0771, 'grad_norm': 4.465826988220215, 'learning_rate': 1.7411816066828848e-07, 'epoch': 0.27}
